age,gender,time_spent,PLATFORM,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car,demographics-PLATFORM
40,female,24:00:00,INSTAGRAM,Lifestlye,United States,Rural,Student,"$10,618",False,True,True,Rural-INSTAGRAM
54,male,192:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Student,"$11,132",True,False,False,Sub_Urban-INSTAGRAM
49,male,168:00:00,FACEBOOK,Lifestlye,Australia,Rural,Marketer Manager,"$15,491",True,True,True,Rural-FACEBOOK
50,non-binary,144:00:00,YOUTUBE,Travel,Australia,Rural,Student,"$15,795",False,True,True,Rural-YOUTUBE
18,male,144:00:00,YOUTUBE,Lifestlye,Australia,Urban,Marketer Manager,"$17,633",True,True,True,Urban-YOUTUBE
36,male,120:00:00,INSTAGRAM,Lifestlye,United States,Rural,Marketer Manager,"$11,487",True,False,True,Rural-INSTAGRAM
19,male,144:00:00,YOUTUBE,Travel,United States,Rural,Marketer Manager,"$17,848",False,False,True,Rural-YOUTUBE
61,female,216:00:00,INSTAGRAM,Sports,Australia,Rural,Student,"$15,009",False,False,False,Rural-INSTAGRAM
43,female,216:00:00,YOUTUBE,Sports,United Kingdom,Rural,Marketer Manager,"$19,749",True,False,True,Rural-YOUTUBE
49,non-binary,192:00:00,FACEBOOK,Travel,Australia,Sub_Urban,Marketer Manager,"$12,113",False,False,False,Sub_Urban-FACEBOOK
23,male,216:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Software Engineer,"$11,044",False,False,True,Urban-INSTAGRAM
49,male,192:00:00,INSTAGRAM,Travel,Australia,Rural,Marketer Manager,"$12,431",True,False,True,Rural-INSTAGRAM
21,non-binary,192:00:00,FACEBOOK,Sports,Australia,Rural,Marketer Manager,"$17,979",True,True,False,Rural-FACEBOOK
28,male,24:00:00,INSTAGRAM,Sports,United States,Sub_Urban,Software Engineer,"$11,582",False,False,False,Sub_Urban-INSTAGRAM
34,male,120:00:00,YOUTUBE,Travel,United Kingdom,Rural,Software Engineer,"$11,308",True,False,True,Rural-YOUTUBE
55,female,96:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Student,"$14,917",False,True,True,Sub_Urban-YOUTUBE
41,non-binary,48:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Marketer Manager,"$18,793",False,True,False,Urban-INSTAGRAM
22,non-binary,192:00:00,YOUTUBE,Travel,United Kingdom,Urban,Student,"$11,620",True,True,False,Urban-YOUTUBE
51,non-binary,72:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Student,"$17,503",True,False,False,Rural-INSTAGRAM
23,non-binary,96:00:00,FACEBOOK,Travel,Australia,Rural,Software Engineer,"$14,766",False,True,False,Rural-FACEBOOK
39,female,168:00:00,INSTAGRAM,Travel,United States,Rural,Student,"$15,362",False,False,True,Rural-INSTAGRAM
28,female,216:00:00,FACEBOOK,Travel,Australia,Sub_Urban,Marketer Manager,"$15,192",False,False,True,Sub_Urban-FACEBOOK
33,male,48:00:00,YOUTUBE,Sports,United Kingdom,Rural,Software Engineer,"$16,622",False,False,True,Rural-YOUTUBE
50,male,72:00:00,FACEBOOK,Travel,United Kingdom,Rural,Marketer Manager,"$16,093",True,True,True,Rural-FACEBOOK
26,male,96:00:00,YOUTUBE,Sports,United States,Urban,Marketer Manager,"$16,704",False,True,True,Urban-YOUTUBE
23,male,24:00:00,INSTAGRAM,Sports,Australia,Rural,Software Engineer,"$10,100",True,False,False,Rural-INSTAGRAM
33,female,168:00:00,YOUTUBE,Travel,United Kingdom,Urban,Marketer Manager,"$16,657",True,False,False,Urban-YOUTUBE
46,non-binary,48:00:00,INSTAGRAM,Travel,United States,Rural,Software Engineer,"$15,875",False,False,False,Rural-INSTAGRAM
20,female,120:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Marketer Manager,"$14,271",True,True,True,Urban-INSTAGRAM
37,male,24:00:00,FACEBOOK,Sports,United States,Rural,Software Engineer,"$10,237",True,False,False,Rural-FACEBOOK
53,female,72:00:00,FACEBOOK,Lifestlye,United States,Urban,Student,"$17,226",False,True,True,Urban-FACEBOOK
36,non-binary,48:00:00,FACEBOOK,Sports,Australia,Sub_Urban,Marketer Manager,"$18,032",True,False,True,Sub_Urban-FACEBOOK
43,non-binary,24:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Software Engineer,"$15,218",True,True,True,Urban-FACEBOOK
20,female,168:00:00,YOUTUBE,Lifestlye,Australia,Urban,Marketer Manager,"$14,025",False,False,False,Urban-YOUTUBE
36,female,120:00:00,YOUTUBE,Lifestlye,United Kingdom,Urban,Marketer Manager,"$16,073",False,True,True,Urban-YOUTUBE
37,female,24:00:00,YOUTUBE,Travel,Australia,Rural,Marketer Manager,"$12,542",False,True,True,Rural-YOUTUBE
49,male,144:00:00,INSTAGRAM,Travel,United Kingdom,Rural,Software Engineer,"$11,537",False,True,False,Rural-INSTAGRAM
24,female,120:00:00,YOUTUBE,Sports,Australia,Rural,Student,"$10,754",False,True,True,Rural-YOUTUBE
58,female,72:00:00,YOUTUBE,Lifestlye,United States,Sub_Urban,Student,"$17,396",False,True,False,Sub_Urban-YOUTUBE
50,female,168:00:00,YOUTUBE,Travel,United Kingdom,Sub_Urban,Student,"$17,823",False,True,True,Sub_Urban-YOUTUBE
57,non-binary,216:00:00,FACEBOOK,Travel,United Kingdom,Urban,Software Engineer,"$15,507",True,False,False,Urban-FACEBOOK
56,non-binary,216:00:00,YOUTUBE,Travel,United States,Sub_Urban,Student,"$14,235",True,False,True,Sub_Urban-YOUTUBE
35,male,216:00:00,INSTAGRAM,Travel,Australia,Urban,Software Engineer,"$10,540",False,False,True,Urban-INSTAGRAM
57,male,48:00:00,FACEBOOK,Travel,United Kingdom,Urban,Marketer Manager,"$15,510",True,False,False,Urban-FACEBOOK
18,non-binary,72:00:00,INSTAGRAM,Lifestlye,United Kingdom,Urban,Marketer Manager,"$18,461",True,True,True,Urban-INSTAGRAM
28,non-binary,168:00:00,YOUTUBE,Lifestlye,Australia,Sub_Urban,Student,"$17,926",False,False,False,Sub_Urban-YOUTUBE
45,non-binary,120:00:00,FACEBOOK,Lifestlye,United States,Rural,Software Engineer,"$15,131",True,True,True,Rural-FACEBOOK
42,female,48:00:00,INSTAGRAM,Lifestlye,Australia,Sub_Urban,Marketer Manager,"$18,697",False,True,False,Sub_Urban-INSTAGRAM
40,female,72:00:00,YOUTUBE,Sports,Australia,Urban,Software Engineer,"$11,129",True,True,True,Urban-YOUTUBE
48,non-binary,144:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Software Engineer,"$13,145",False,False,True,Urban-INSTAGRAM
47,female,168:00:00,INSTAGRAM,Travel,United Kingdom,Sub_Urban,Marketer Manager,"$18,553",True,True,True,Sub_Urban-INSTAGRAM
59,female,216:00:00,INSTAGRAM,Lifestlye,United States,Urban,Software Engineer,"$13,720",True,False,False,Urban-INSTAGRAM
52,male,24:00:00,YOUTUBE,Sports,United States,Urban,Marketer Manager,"$19,648",True,False,False,Urban-YOUTUBE
24,non-binary,168:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Marketer Manager,"$14,067",False,False,False,Sub_Urban-YOUTUBE
33,non-binary,192:00:00,INSTAGRAM,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$14,195",True,False,False,Sub_Urban-INSTAGRAM
43,female,72:00:00,FACEBOOK,Lifestlye,Australia,Sub_Urban,Software Engineer,"$19,873",True,False,False,Sub_Urban-FACEBOOK
19,non-binary,96:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Marketer Manager,"$19,244",False,True,True,Urban-FACEBOOK
18,male,144:00:00,YOUTUBE,Travel,United Kingdom,Urban,Software Engineer,"$17,281",False,True,True,Urban-YOUTUBE
29,male,168:00:00,YOUTUBE,Travel,United Kingdom,Rural,Marketer Manager,"$12,509",True,False,True,Rural-YOUTUBE
22,male,96:00:00,YOUTUBE,Sports,United Kingdom,Rural,Marketer Manager,"$15,016",True,True,True,Rural-YOUTUBE
54,non-binary,192:00:00,YOUTUBE,Travel,United States,Sub_Urban,Student,"$16,533",True,False,True,Sub_Urban-YOUTUBE
49,non-binary,120:00:00,YOUTUBE,Travel,United Kingdom,Rural,Student,"$14,727",True,True,False,Rural-YOUTUBE
26,non-binary,24:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Student,"$10,681",False,True,True,Urban-FACEBOOK
58,non-binary,96:00:00,YOUTUBE,Travel,Australia,Rural,Software Engineer,"$13,932",True,True,False,Rural-YOUTUBE
52,non-binary,72:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Software Engineer,"$15,560",True,True,True,Urban-INSTAGRAM
36,male,216:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Marketer Manager,"$14,016",False,True,False,Sub_Urban-INSTAGRAM
33,female,192:00:00,FACEBOOK,Travel,Australia,Sub_Urban,Marketer Manager,"$17,339",True,True,False,Sub_Urban-FACEBOOK
20,male,24:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Marketer Manager,"$10,719",True,True,False,Urban-INSTAGRAM
37,non-binary,144:00:00,FACEBOOK,Sports,Australia,Rural,Marketer Manager,"$10,074",True,True,True,Rural-FACEBOOK
41,male,216:00:00,FACEBOOK,Travel,United States,Sub_Urban,Software Engineer,"$19,485",False,True,True,Sub_Urban-FACEBOOK
50,non-binary,168:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Marketer Manager,"$14,157",False,True,True,Sub_Urban-INSTAGRAM
41,non-binary,96:00:00,YOUTUBE,Lifestlye,Australia,Rural,Marketer Manager,"$18,511",True,True,True,Rural-YOUTUBE
28,male,24:00:00,INSTAGRAM,Lifestlye,United States,Rural,Student,"$12,149",True,True,False,Rural-INSTAGRAM
25,non-binary,48:00:00,INSTAGRAM,Travel,United States,Urban,Marketer Manager,"$19,644",False,True,False,Urban-INSTAGRAM
53,female,120:00:00,FACEBOOK,Sports,United Kingdom,Rural,Marketer Manager,"$19,747",True,False,False,Rural-FACEBOOK
55,non-binary,120:00:00,INSTAGRAM,Sports,Australia,Rural,Marketer Manager,"$16,713",True,True,False,Rural-INSTAGRAM
57,female,192:00:00,FACEBOOK,Lifestlye,United Kingdom,Rural,Software Engineer,"$14,207",False,True,True,Rural-FACEBOOK
37,female,144:00:00,YOUTUBE,Travel,Australia,Urban,Student,"$17,141",False,True,False,Urban-YOUTUBE
52,non-binary,192:00:00,YOUTUBE,Sports,Australia,Urban,Marketer Manager,"$18,652",False,True,True,Urban-YOUTUBE
42,male,48:00:00,YOUTUBE,Travel,United Kingdom,Sub_Urban,Marketer Manager,"$19,078",True,True,False,Sub_Urban-YOUTUBE
52,female,72:00:00,INSTAGRAM,Sports,Australia,Urban,Student,"$13,936",True,True,False,Urban-INSTAGRAM
42,male,144:00:00,FACEBOOK,Lifestlye,Australia,Sub_Urban,Marketer Manager,"$19,307",True,False,False,Sub_Urban-FACEBOOK
46,female,72:00:00,YOUTUBE,Lifestlye,Australia,Rural,Software Engineer,"$11,075",True,False,True,Rural-YOUTUBE
35,non-binary,144:00:00,FACEBOOK,Travel,United States,Sub_Urban,Marketer Manager,"$13,876",False,False,True,Sub_Urban-FACEBOOK
63,non-binary,144:00:00,FACEBOOK,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,"$14,615",True,True,False,Sub_Urban-FACEBOOK
35,female,48:00:00,YOUTUBE,Sports,United States,Rural,Software Engineer,"$17,265",True,True,False,Rural-YOUTUBE
19,non-binary,168:00:00,YOUTUBE,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$16,379",False,True,False,Sub_Urban-YOUTUBE
52,female,48:00:00,FACEBOOK,Travel,United Kingdom,Urban,Student,"$19,118",False,False,True,Urban-FACEBOOK
33,non-binary,144:00:00,YOUTUBE,Travel,Australia,Urban,Software Engineer,"$14,652",True,True,True,Urban-YOUTUBE
58,male,24:00:00,FACEBOOK,Travel,United Kingdom,Urban,Student,"$16,792",False,True,True,Urban-FACEBOOK
53,non-binary,72:00:00,FACEBOOK,Sports,United States,Urban,Marketer Manager,"$19,247",False,False,False,Urban-FACEBOOK
50,male,48:00:00,YOUTUBE,Sports,United States,Sub_Urban,Software Engineer,"$17,456",True,False,True,Sub_Urban-YOUTUBE
21,non-binary,168:00:00,INSTAGRAM,Sports,United States,Sub_Urban,Marketer Manager,"$14,674",True,True,False,Sub_Urban-INSTAGRAM
50,male,96:00:00,YOUTUBE,Sports,United Kingdom,Rural,Student,"$10,541",True,True,True,Rural-YOUTUBE
31,non-binary,192:00:00,INSTAGRAM,Sports,United States,Sub_Urban,Marketer Manager,"$12,161",True,True,False,Sub_Urban-INSTAGRAM
38,male,144:00:00,FACEBOOK,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$12,251",False,True,False,Sub_Urban-FACEBOOK
37,female,96:00:00,FACEBOOK,Sports,United States,Sub_Urban,Software Engineer,"$19,244",False,False,True,Sub_Urban-FACEBOOK
25,female,120:00:00,INSTAGRAM,Sports,United States,Rural,Marketer Manager,"$14,569",True,True,False,Rural-INSTAGRAM
24,male,216:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Marketer Manager,"$12,744",True,True,False,Urban-FACEBOOK
20,non-binary,168:00:00,INSTAGRAM,Sports,United States,Sub_Urban,Marketer Manager,"$16,041",False,False,False,Sub_Urban-INSTAGRAM
34,male,216:00:00,INSTAGRAM,Travel,Australia,Rural,Software Engineer,"$14,675",True,True,True,Rural-INSTAGRAM
50,non-binary,168:00:00,FACEBOOK,Sports,United Kingdom,Rural,Student,"$11,560",True,True,False,Rural-FACEBOOK
29,female,24:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Student,"$11,164",True,False,True,Rural-INSTAGRAM
39,non-binary,192:00:00,YOUTUBE,Travel,United Kingdom,Urban,Marketer Manager,"$15,419",True,False,True,Urban-YOUTUBE
39,female,96:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Software Engineer,"$12,722",False,True,False,Sub_Urban-YOUTUBE
63,non-binary,72:00:00,FACEBOOK,Travel,United Kingdom,Rural,Marketer Manager,"$10,470",True,False,True,Rural-FACEBOOK
47,non-binary,168:00:00,FACEBOOK,Travel,United States,Urban,Student,"$19,608",False,False,False,Urban-FACEBOOK
55,non-binary,72:00:00,INSTAGRAM,Sports,United States,Rural,Software Engineer,"$11,468",True,True,True,Rural-INSTAGRAM
55,male,192:00:00,INSTAGRAM,Travel,United States,Rural,Student,"$17,925",True,False,False,Rural-INSTAGRAM
62,male,144:00:00,INSTAGRAM,Travel,United Kingdom,Rural,Student,"$10,808",False,True,True,Rural-INSTAGRAM
25,female,120:00:00,INSTAGRAM,Lifestlye,United States,Rural,Software Engineer,"$18,363",True,True,False,Rural-INSTAGRAM
44,female,96:00:00,YOUTUBE,Travel,United Kingdom,Rural,Software Engineer,"$16,719",False,True,False,Rural-YOUTUBE
44,male,192:00:00,YOUTUBE,Travel,United States,Urban,Marketer Manager,"$15,073",True,True,False,Urban-YOUTUBE
51,female,192:00:00,FACEBOOK,Lifestlye,Australia,Sub_Urban,Marketer Manager,"$18,012",True,False,False,Sub_Urban-FACEBOOK
38,male,24:00:00,INSTAGRAM,Lifestlye,Australia,Sub_Urban,Student,"$11,645",True,True,True,Sub_Urban-INSTAGRAM
47,non-binary,216:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Software Engineer,"$18,249",True,True,True,Sub_Urban-INSTAGRAM
50,female,120:00:00,FACEBOOK,Lifestlye,Australia,Sub_Urban,Software Engineer,"$11,129",True,True,False,Sub_Urban-FACEBOOK
45,female,96:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Marketer Manager,"$11,353",False,True,True,Urban-INSTAGRAM
64,male,144:00:00,INSTAGRAM,Lifestlye,United States,Urban,Student,"$10,767",False,False,False,Urban-INSTAGRAM
50,female,144:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Student,"$13,895",True,False,False,Urban-INSTAGRAM
22,female,48:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Marketer Manager,"$18,874",True,False,True,Rural-INSTAGRAM
36,non-binary,192:00:00,INSTAGRAM,Lifestlye,Australia,Rural,Software Engineer,"$13,454",False,True,True,Rural-INSTAGRAM
21,female,168:00:00,FACEBOOK,Sports,Australia,Rural,Marketer Manager,"$17,329",False,False,False,Rural-FACEBOOK
52,non-binary,24:00:00,INSTAGRAM,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$11,790",True,False,True,Sub_Urban-INSTAGRAM
34,male,120:00:00,FACEBOOK,Travel,United Kingdom,Rural,Marketer Manager,"$19,669",True,True,False,Rural-FACEBOOK
61,female,144:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Marketer Manager,"$10,885",False,False,True,Sub_Urban-INSTAGRAM
45,non-binary,96:00:00,YOUTUBE,Sports,United States,Rural,Software Engineer,"$17,734",True,True,True,Rural-YOUTUBE
47,male,48:00:00,YOUTUBE,Lifestlye,Australia,Sub_Urban,Marketer Manager,"$13,906",False,False,True,Sub_Urban-YOUTUBE
46,female,96:00:00,YOUTUBE,Sports,Australia,Rural,Software Engineer,"$14,492",True,False,True,Rural-YOUTUBE
63,male,24:00:00,YOUTUBE,Sports,United States,Rural,Marketer Manager,"$19,730",False,False,True,Rural-YOUTUBE
23,female,168:00:00,FACEBOOK,Travel,United States,Urban,Student,"$12,073",False,False,False,Urban-FACEBOOK
52,male,48:00:00,FACEBOOK,Travel,United Kingdom,Rural,Software Engineer,"$10,312",True,True,True,Rural-FACEBOOK
58,male,48:00:00,INSTAGRAM,Sports,United States,Rural,Student,"$16,269",False,True,True,Rural-INSTAGRAM
54,non-binary,216:00:00,YOUTUBE,Lifestlye,United States,Urban,Marketer Manager,"$15,317",True,False,False,Urban-YOUTUBE
41,male,120:00:00,FACEBOOK,Sports,Australia,Sub_Urban,Marketer Manager,"$10,810",True,True,False,Sub_Urban-FACEBOOK
46,female,48:00:00,INSTAGRAM,Sports,United States,Urban,Marketer Manager,"$16,841",True,False,False,Urban-INSTAGRAM
63,female,216:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Software Engineer,"$12,032",True,False,True,Urban-INSTAGRAM
48,non-binary,216:00:00,FACEBOOK,Lifestlye,United States,Sub_Urban,Student,"$19,699",False,False,True,Sub_Urban-FACEBOOK
52,female,24:00:00,YOUTUBE,Lifestlye,United Kingdom,Rural,Software Engineer,"$17,129",True,False,False,Rural-YOUTUBE
50,female,72:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Software Engineer,"$12,705",True,False,False,Sub_Urban-INSTAGRAM
38,female,96:00:00,YOUTUBE,Sports,United States,Rural,Marketer Manager,"$18,788",True,False,False,Rural-YOUTUBE
49,male,168:00:00,YOUTUBE,Sports,United States,Rural,Student,"$12,147",True,True,False,Rural-YOUTUBE
40,male,96:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Marketer Manager,"$10,615",False,True,True,Sub_Urban-YOUTUBE
50,female,48:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Software Engineer,"$10,947",True,False,True,Urban-INSTAGRAM
20,non-binary,168:00:00,YOUTUBE,Lifestlye,United States,Sub_Urban,Marketer Manager,"$15,677",False,True,True,Sub_Urban-YOUTUBE
35,male,144:00:00,INSTAGRAM,Travel,Australia,Rural,Student,"$14,651",False,False,True,Rural-INSTAGRAM
42,non-binary,72:00:00,YOUTUBE,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$17,866",False,True,True,Sub_Urban-YOUTUBE
59,female,144:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Student,"$12,013",True,True,False,Sub_Urban-INSTAGRAM
48,female,144:00:00,YOUTUBE,Travel,Australia,Rural,Student,"$13,697",True,True,True,Rural-YOUTUBE
20,male,120:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Marketer Manager,"$10,490",True,False,False,Urban-FACEBOOK
57,female,96:00:00,YOUTUBE,Travel,United States,Sub_Urban,Software Engineer,"$14,350",True,True,False,Sub_Urban-YOUTUBE
63,male,24:00:00,YOUTUBE,Travel,Australia,Rural,Marketer Manager,"$12,428",False,False,False,Rural-YOUTUBE
41,female,144:00:00,INSTAGRAM,Sports,Australia,Rural,Software Engineer,"$14,987",False,False,True,Rural-INSTAGRAM
49,female,48:00:00,INSTAGRAM,Lifestlye,United States,Sub_Urban,Software Engineer,"$18,733",True,False,False,Sub_Urban-INSTAGRAM
64,male,72:00:00,YOUTUBE,Travel,United States,Urban,Marketer Manager,"$19,479",True,True,True,Urban-YOUTUBE
39,male,192:00:00,FACEBOOK,Travel,United Kingdom,Sub_Urban,Software Engineer,"$19,825",True,True,False,Sub_Urban-FACEBOOK
40,male,144:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Software Engineer,"$14,920",True,True,True,Urban-FACEBOOK
19,female,72:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Marketer Manager,"$12,926",True,False,False,Urban-INSTAGRAM
44,female,168:00:00,FACEBOOK,Travel,United States,Urban,Marketer Manager,"$19,544",True,False,True,Urban-FACEBOOK
59,non-binary,96:00:00,YOUTUBE,Travel,Australia,Urban,Marketer Manager,"$17,282",True,True,False,Urban-YOUTUBE
19,male,216:00:00,INSTAGRAM,Lifestlye,Australia,Sub_Urban,Software Engineer,"$14,376",False,False,False,Sub_Urban-INSTAGRAM
43,female,120:00:00,YOUTUBE,Lifestlye,United Kingdom,Rural,Student,"$19,490",False,True,False,Rural-YOUTUBE
34,female,72:00:00,INSTAGRAM,Lifestlye,United States,Rural,Software Engineer,"$14,868",False,True,False,Rural-INSTAGRAM
57,male,48:00:00,INSTAGRAM,Lifestlye,Australia,Rural,Student,"$16,986",False,True,True,Rural-INSTAGRAM
50,non-binary,48:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Marketer Manager,"$16,862",True,True,True,Rural-INSTAGRAM
26,male,72:00:00,INSTAGRAM,Travel,Australia,Rural,Student,"$14,423",True,False,True,Rural-INSTAGRAM
60,non-binary,48:00:00,FACEBOOK,Lifestlye,Australia,Rural,Marketer Manager,"$16,870",True,True,False,Rural-FACEBOOK
56,female,96:00:00,YOUTUBE,Travel,United States,Sub_Urban,Marketer Manager,"$18,159",True,True,False,Sub_Urban-YOUTUBE
46,non-binary,48:00:00,YOUTUBE,Travel,United States,Urban,Student,"$12,073",True,True,False,Urban-YOUTUBE
59,female,216:00:00,YOUTUBE,Sports,Australia,Rural,Marketer Manager,"$16,170",False,True,False,Rural-YOUTUBE
43,male,48:00:00,INSTAGRAM,Lifestlye,United Kingdom,Sub_Urban,Student,"$10,701",True,True,False,Sub_Urban-INSTAGRAM
52,male,216:00:00,FACEBOOK,Lifestlye,United States,Rural,Marketer Manager,"$18,113",False,True,False,Rural-FACEBOOK
42,male,144:00:00,YOUTUBE,Travel,Australia,Rural,Software Engineer,"$16,825",True,True,True,Rural-YOUTUBE
41,non-binary,24:00:00,FACEBOOK,Lifestlye,United States,Urban,Software Engineer,"$17,867",False,False,True,Urban-FACEBOOK
30,female,96:00:00,INSTAGRAM,Travel,United States,Urban,Marketer Manager,"$14,264",True,False,True,Urban-INSTAGRAM
24,male,24:00:00,YOUTUBE,Travel,United States,Urban,Marketer Manager,"$17,968",False,False,True,Urban-YOUTUBE
53,male,144:00:00,FACEBOOK,Sports,Australia,Rural,Student,"$18,146",True,False,True,Rural-FACEBOOK
62,female,96:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Software Engineer,"$17,776",True,True,True,Rural-INSTAGRAM
37,male,72:00:00,FACEBOOK,Sports,United Kingdom,Rural,Student,"$18,558",True,False,True,Rural-FACEBOOK
18,female,72:00:00,YOUTUBE,Travel,United Kingdom,Urban,Marketer Manager,"$18,719",True,False,True,Urban-YOUTUBE
25,female,216:00:00,YOUTUBE,Lifestlye,United States,Sub_Urban,Marketer Manager,"$14,886",False,False,False,Sub_Urban-YOUTUBE
63,female,144:00:00,INSTAGRAM,Sports,Australia,Rural,Student,"$13,935",True,True,False,Rural-INSTAGRAM
33,female,216:00:00,INSTAGRAM,Lifestlye,United States,Rural,Marketer Manager,"$14,619",False,False,False,Rural-INSTAGRAM
31,female,120:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Software Engineer,"$15,191",True,False,False,Rural-INSTAGRAM
29,non-binary,48:00:00,FACEBOOK,Sports,United Kingdom,Sub_Urban,Student,"$16,875",False,True,False,Sub_Urban-FACEBOOK
40,male,192:00:00,FACEBOOK,Travel,Australia,Rural,Software Engineer,"$17,856",True,False,False,Rural-FACEBOOK
32,non-binary,120:00:00,FACEBOOK,Sports,United States,Sub_Urban,Software Engineer,"$15,401",True,True,False,Sub_Urban-FACEBOOK
45,male,48:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Software Engineer,"$13,022",False,False,True,Rural-INSTAGRAM
51,non-binary,96:00:00,YOUTUBE,Travel,Australia,Sub_Urban,Student,"$15,738",True,True,True,Sub_Urban-YOUTUBE
19,female,216:00:00,YOUTUBE,Lifestlye,United States,Rural,Marketer Manager,"$15,984",True,False,False,Rural-YOUTUBE
49,male,96:00:00,FACEBOOK,Sports,United States,Urban,Software Engineer,"$11,770",False,False,True,Urban-FACEBOOK
40,male,96:00:00,FACEBOOK,Travel,United Kingdom,Urban,Software Engineer,"$19,969",True,False,True,Urban-FACEBOOK
39,non-binary,48:00:00,YOUTUBE,Sports,United Kingdom,Urban,Software Engineer,"$18,989",False,True,True,Urban-YOUTUBE
42,non-binary,144:00:00,YOUTUBE,Travel,United States,Urban,Marketer Manager,"$13,215",True,False,True,Urban-YOUTUBE
39,male,48:00:00,FACEBOOK,Lifestlye,United States,Rural,Marketer Manager,"$16,694",False,True,True,Rural-FACEBOOK
39,non-binary,168:00:00,FACEBOOK,Lifestlye,United Kingdom,Urban,Student,"$12,976",False,True,False,Urban-FACEBOOK
59,non-binary,72:00:00,YOUTUBE,Travel,United States,Sub_Urban,Marketer Manager,"$13,737",False,True,True,Sub_Urban-YOUTUBE
23,non-binary,72:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Student,"$19,903",False,True,False,Urban-INSTAGRAM
32,female,120:00:00,FACEBOOK,Travel,United States,Urban,Student,"$10,752",True,False,False,Urban-FACEBOOK
60,female,72:00:00,YOUTUBE,Lifestlye,United Kingdom,Urban,Student,"$11,392",True,False,False,Urban-YOUTUBE
54,non-binary,48:00:00,YOUTUBE,Sports,Australia,Rural,Student,"$16,789",False,False,True,Rural-YOUTUBE
50,non-binary,216:00:00,YOUTUBE,Lifestlye,United Kingdom,Urban,Student,"$10,677",True,True,False,Urban-YOUTUBE
25,female,48:00:00,YOUTUBE,Travel,United Kingdom,Sub_Urban,Software Engineer,"$10,105",True,False,False,Sub_Urban-YOUTUBE
61,female,48:00:00,INSTAGRAM,Travel,Australia,Urban,Marketer Manager,"$14,753",True,True,False,Urban-INSTAGRAM
61,male,192:00:00,YOUTUBE,Lifestlye,United States,Urban,Software Engineer,"$11,946",False,True,False,Urban-YOUTUBE
22,male,216:00:00,FACEBOOK,Travel,Australia,Urban,Student,"$15,544",True,True,True,Urban-FACEBOOK
56,female,168:00:00,INSTAGRAM,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,"$11,095",True,False,False,Sub_Urban-INSTAGRAM
21,non-binary,72:00:00,YOUTUBE,Travel,United States,Urban,Software Engineer,"$16,985",False,False,False,Urban-YOUTUBE
23,non-binary,216:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Software Engineer,"$11,782",True,True,False,Sub_Urban-INSTAGRAM
62,non-binary,72:00:00,FACEBOOK,Sports,United States,Sub_Urban,Student,"$14,541",False,False,False,Sub_Urban-FACEBOOK
49,non-binary,120:00:00,YOUTUBE,Travel,United States,Urban,Software Engineer,"$13,257",False,False,True,Urban-YOUTUBE
